Name,Year,TotalCost
Alabama,2003,12880
Alabama,2004,13406
Alabama,2005,14427
Alabama,2006,15232
Alabama,2007,15673
Alabama,2008,16659
Alabama,2009,17246
Alabama,2010,18207
Alabama,2011,19904
Alabama,2012,21349
Alabama,2013,22295
Alaska,2003,12531
Alaska,2004,13053
Alaska,2005,13418
Alaska,2006,14351
Alaska,2007,14644
Alaska,2008,16110
Alaska,2009,16306
Alaska,2010,17188
Alaska,2011,17337
Alaska,2012,18493
Alaska,2013,18223
Arizona,2003,13695
Arizona,2004,14505
Arizona,2005,15454
Arizona,2006,16146
Arizona,2007,17043
Arizona,2008,18436
Arizona,2009,20481
Arizona,2010,20830
Arizona,2011,21854
Arizona,2012,22860
Arizona,2013,23502
Arkansas,2003,13255
Arkansas,2004,14121
Arkansas,2005,14820
Arkansas,2006,15850
Arkansas,2007,16757
Arkansas,2008,17656
Arkansas,2009,18208
Arkansas,2010,19108
Arkansas,2011,19806
Arkansas,2012,20394
Arkansas,2013,21316
California,2003,20508
California,2004,22061
California,2005,22795
California,2006,23448
California,2007,24853
California,2008,25908
California,2009,27958
California,2010,29803
California,2011,30902
California,2012,31759
California,2013,31736
Colorado,2003,15320
Colorado,2004,16060
Colorado,2005,17749
Colorado,2006,18619
Colorado,2007,20430
Colorado,2008,21283
Colorado,2009,22390
Colorado,2010,22767
Colorado,2011,24023
Colorado,2012,24801
Colorado,2013,26983
Connecticut,2003,26188
Connecticut,2004,27442
Connecticut,2005,29063
Connecticut,2006,30193
Connecticut,2007,31953
Connecticut,2008,33835
Connecticut,2009,35480
Connecticut,2010,37612
Connecticut,2011,38774
Connecticut,2012,40612
Connecticut,2013,42153
Delaware,2003,15759
Delaware,2004,16584
Delaware,2005,17578
Delaware,2006,18699
Delaware,2007,19772
Delaware,2008,20781
Delaware,2009,22515
Delaware,2010,23830
Delaware,2011,24873
Delaware,2012,25726
Delaware,2013,26351
District of Columbia,2003,35710
District of Columbia,2004,37726
District of Columbia,2005,39738
District of Columbia,2006,41669
District of Columbia,2007,43624
District of Columbia,2008,45390
District of Columbia,2009,46713
District of Columbia,2010,48598
District of Columbia,2011,51446
District of Columbia,2012,53387
District of Columbia,2013,54975
Florida,2003,16819
Florida,2004,17634
Florida,2005,19425
Florida,2006,20172
Florida,2007,21121
Florida,2008,22421
Florida,2009,23189
Florida,2010,23888
Florida,2011,25278
Florida,2012,26011
Florida,2013,26711
Georgia,2003,15722
