PELLID,Institution,City,State,Recipients,Awards
001061,Alaska Pacific University,Anchorage,AK,109,"197,233"
031603,Alaska Vocational Technical Center,Seward,AK,69,"133,148"
001062,Sheldon Jackson College,Sitka,AK,72,"107,287"
011462,University of Alaska - Anchorage,Anchorage,AK,"1,920","3,425,149"
001063,University of Alaska at Fairbanks,Fairbanks,AK,"1,256","2,441,864"
001065,University of Alaska at Southeast,Juneau,AK,221,"353,170"
001002,Alabama Agricultural & Mechanical University,Normal,AL,"2,369","5,520,921"
001034,Alabama Southern Community College,Monroeville,AL,837,"1,548,659"
001005,Alabama State University,Montgomery,AL,"3,236","7,164,037"
001008,Athens State University,Athens,AL,854,"1,514,341"
001009,Auburn University,Auburn,AL,"2,842","5,449,458"
008310,Auburn University Montgomergy,Montgomery,AL,"1,661","3,255,470"
005704,Bessemer State Technical College,Bessemer,AL,732,"1,002,263"
005733,Bevill State Community College,Sumiton,AL,"1,886","3,561,323"
001012,Birmingham Southern College,Birmingham,AL,196,"375,648"
001030,Bishop State Community College,Mobile,AL,"2,958","5,351,464"
001013,CALHOUN STATE COMMUNITY COLLEGE,Decatur,AL,"2,363","3,964,229"
001007,Central Alabama Community College,Alexander City,AL,836,"1,169,319"
012182,Chattahoochee Valley Community College,Phenix City,AL,940,"1,717,137"
010554,Concordia College,Selma,AL,467,"996,053"
005698,Douglas MacArthur State Technical College,Opp,AL,460,"694,892"
001015,Enterprise State Junior College,Enterprise,AL,773,"1,356,083"
001060,FAULKNER STATE COMMUNITY COLLEGE,Bay Minette,AL,"1,063","1,878,438"
001003,Faulkner University,Montgomery,AL,"1,260","2,365,909"
001017,Gadsden State Community College,Gadsden,AL,"1,548","2,841,651"
001018,George C. Wallace Community College,Dothan,AL,"1,715","2,449,373"
007871,George C. Wallace State Community College,Hanceville,AL,"1,693","3,292,438"
009980,George Corley Wallace State Community College,Selma,AL,"1,091","2,046,111"
005705,Harry M Ayers State Technical College,Anniston,AL,606,"929,777"
001019,Huntingdon College,Montgomery,AL,165,"319,393"
015370,International Bible College,Florence,AL,95,"179,313"
005260,J F Drake State Technical College,Huntsville,AL,319,"617,005"
001020,Jacksonville State University,Jacksonville,AL,"2,566","5,249,985"
001021,Jefferson Davis Community College,Brewton,AL,733,"1,255,618"
001022,Jefferson State Community College,Birmingham,AL,"1,200","2,021,977"
005693,John M. Patterson State Technical College,Montgomery,AL,502,"740,757"
001023,Judson College,Marion,AL,115,"223,405"
001059,Lawson State Community College,Birmingham,AL,"1,306","2,827,244"
008988,Lurleen B. Wallace State Junior College-,Andalusia,AL,352,"653,901"
001026,Marion Military Institute,Marion,AL,46,"95,004"
001028,Miles College,Fairfield,AL,"1,316","2,732,787"
001031,Northeast Alabama Community College,Rainsville,AL,765,"1,310,464"
005697,Northwest-Shoals Community College,Muscle Shoals,AL,"1,644","2,958,581"
001033,Oakwood College,Huntsville,AL,712,"1,603,133"
005692,Reid State Technical College,Evergreen,AL,541,"775,291"
001036,Samford University,Birmingham,AL,350,"650,205"
005691,Shelton State Community College,Tuscaloosa,AL,"1,728","3,368,400"
001038,Snead State Community College,Boaz,AL,629,"1,145,250"
013857,Southeastern Bible College,Birimingham,AL,87,"151,940"
016885,Southern Christian University,Montgomery,AL,59,"92,437"
011237,Southern Community College,Tuskegee,AL,61,"110,565"
001040,Southern Union State Community College,Wadley,AL,"1,492","2,513,289"
001041,Spring Hill College,Mobile,AL,316,"615,279"
001044,Stillman College,Tuscaloosa,AL,"1,141","2,652,729"
001046,Talladega College,Talladega,AL,325,"839,359"
005734,Trenholm State Technical College,Montgomery,AL,930,"1,088,670"
001047,Troy State University,Troy,AL,"3,911","7,216,479"
001050,Tuskegee University,Tuskegee,AL,"1,312","2,888,861"
001051,University of Alabama,Tuscaloosa,AL,"3,275","6,877,580"
001052,University of Alabama at Birmingham,Birmingham,AL,"2,691","5,281,365"
001055,University of Alabama at Huntsville,Huntsville,AL,"1,215","2,396,953"
001029,University of Mobile,Mobile,AL,981,"1,931,437"
001004,University of Montevallo,Montevallo,AL,636,"1,264,069"
001016,University of North Alabama,Florence,AL,"1,597","3,188,558"
001057,University of South Alabama,Mobile,AL,"2,644","4,932,208"
001024,University of West Alabama,Livingston,AL,790,"1,703,881"
001087,Arkansas Baptist College,Little Rock,AR,115,"222,813"
032923,Arkansas Career Training Institute,Hot Springs,AR,91,"152,137"
001090,Arkansas State University,Jonesboro,AR,"4,674","9,167,102"
001089,Arkansas Tech University,Russellville,AR,"1,635","3,225,985"
005249,Arkansas Valley Technical Institute,Ozark,AR,359,"630,707"
031052,Baptist Medical Center,Little Rock,AR,180,"267,773"
011948,Black River Technical College,Pocahontas,AR,471,"852,854"
001093,Central Baptist College,Conway,AR,122,"244,518"
012432,Cossatot Technical College,De Queen,AR,323,"616,292"
005250,Cotton Boll Technical Institute,Burdette,AR,222,"427,807"
001095,Crowley's Ridge College,Paragould,AR,92,"157,002"
013583,Crowley's Ridge Technical Institute,Forrest City,AR,150,"240,047"
007043,Delta Technical Institute,Marked Tree,AR,138,"220,351"
012260,East Arkansas Community College,Forrest City,AR,669,"1,262,872"
005319,Foothills Technical Institute,Searcy,AR,154,"271,624"
014004,Forest Echoes Technical Institute,Crossett,AR,81,"89,312"
012105,Garland County Community College,Hot Springs,AR,795,"1,303,507"
014043,Great Rivers Vocational Technical School,McGehee,AR,111,"177,799"
001097,Harding University,Searcy,AR,"1,242","2,528,744"
001098,Henderson State University,Arkadelphia,AR,"1,367","2,759,866"
001099,Hendrix College,Conway,AR,231,"466,109"
016498,Jefferson School of Nursing,Pine Bluff,AR,48,"75,082"
001100,John Brown University,Siloam Springs,AR,354,"582,805"
001088,Lyon College,Batesville,AR,146,"297,868"
015862,Mid-South Community College,West Memphis,AR,552,"954,904"
012860,Mississippi County Community College,Blytheville,AR,934,"1,735,805"
012261,North Arkansas College,Harrison,AR,838,"1,583,729"
030633,Northwest Arkansas Community College,Bentonville,AR,506,"762,730"
014044,Northwest Technical Institute,Springdale,AR,161,"249,331"
001102,Ouachita Baptist University,Arkadelphia,AR,377,"719,577"
009976,Ouachita Technical College,Malvern,AR,349,"559,112"
013217,Ozarka College,Melbourne,AR,416,"812,239"
005245,Petit Jean College,Morrilton,AR,737,"1,341,225"
001103,Philander Smith College,Little Rock,AR,598,"1,379,935"
001104,Phillips Community College of the University of Arkansas,Helena,AR,954,"1,893,772"
014167,Pulaski Technical College,North Little Rock,AR,"1,694","3,106,681"
010848,Quapaw Technical Institute,Hot Springs,AR,113,"218,092"
012435,RICH MOUNTAIN COMMUNITY COLLEGE,Mena,AR,317,"604,660"
013858,South Arkansas Community College,El Dorado,AR,355,"624,243"
014893,Southeast Arkansas College,Pine Bluff,AR,729,"1,341,363"
001107,Southern Arkansas University,Magnolia,AR,"1,136","2,423,938"
007738,Southern Arkansas University Tech,Camden,AR,271,"556,879"
001108,UNIVERSITY OF ARKANSAS,Fayetteville,AR,"2,936","6,057,051"
001101,University of Arkansas at Little Rock,Little Rock,AR,"2,914","5,219,682"
001085,University of Arkansas at Monticello,Monticello,AR,"1,107","2,375,701"
001086,University of Arkansas at Pine Bluff,Pine Bluff,AR,"1,974","4,586,183"
014042,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,Batesville,AR,510,"925,434"
005732,University of Arkansas Community College at Hope,Hope,AR,640,"1,151,232"
001109,University of Arkansas for Medical Sciences,Little Rock,AR,225,"481,290"
001092,University of Central Arkansas,Conway,AR,"2,552","4,889,420"
001094,University of the Ozarks,Clarksville,AR,215,"430,732"
001110,Westark College,Fort Smith,AR,"1,329","2,356,565"
001106,Williams Baptist College,Walnut Ridge,AR,306,"629,375"
010010,American Samoa Community College,Pago Pago,AS,699,"1,375,080"
015550,American Indian College of the Assemblies of God,Phoenix,AZ,69,"141,144"
015681,Arizona Institute of Business and Technology,Phoenix,AZ,"1,999","3,996,589"
001081,Arizona State University,Tempe,AZ,"8,590","16,454,435"
001071,Arizona Western College,Yuma,AZ,"2,239","3,750,698"
007283,Central Arizona College,Coolidge,AZ,931,"1,658,339"
030722,Chandler-Gilbert Community College,Chandler,AZ,485,"715,929"
001072,Cochise College,Douglas,AZ,"1,834","3,230,602"
031004,Coconino County Community College,Flagstaff,AZ,523,"818,846"
008246,Dine College,Tsaile,AZ,"1,076","2,226,278"
001073,Eastern Arizona College,Thatcher,AZ,"1,030","1,871,265"
031563,Estrella Mountain Community College,Avondale,AZ,654,"951,510"
008303,GateWay Community College,Phoenix,AZ,"1,239","1,794,045"
001076,Glendale Community College,Glendale,AZ,"2,881","4,406,217"
001074,Grand Canyon University,Phoenix,AZ,486,"869,150"
033473,International Baptist College,Tempe,AZ,16,"25,022"
001077,Mesa Community College,Mesa,AZ,"3,368","5,564,342"
011864,Mohave Community College,Kingman,AZ,758,"1,160,536"
001082,Northern Arizona University,Flagstaff,AZ,"4,263","8,465,336"
011862,Northland Pioneer College,Holbrook,AZ,693,"1,224,534"
026236,Paradise Valley Community College,Phoenix,AZ,880,"1,367,654"
001078,Phoenix College,Phoenix,AZ,"2,434","4,064,840"
034013,Phoenix First Pastors College,Phoenix,AZ,20,"28,399"
007266,Pima County Community College,Tucson,AZ,"5,838","10,169,163"
013659,Prescott Center for Alternative Education,Prescott,AZ,297,"540,112"
014483,RIO SALADO COMMUNITY COLLEGE,Tempe,AZ,742,"869,409"
008304,Scottsdale Community College,Scottsdale,AZ,948,"1,536,324"
015001,South Mountain Community College,Phoenix,AZ,890,"1,411,195"
007113,Southwestern College,Phoenix,AZ,90,"156,501"
001083,University of Arizona (The),Tucson,AZ,"6,507","13,314,603"
001079,Yavapai College,Prescott,AZ,"1,066","1,681,361"
001111,Allan Hancock College,Santa Maria,CA,"1,822","3,045,943"
014801,American Academy of Dramatic Arts-West,Pasadena,CA,50,"107,050"
014545,American Conservatory Theatre Foundation,San Francisco,CA,6,"13,462"
001232,American River College,Sacramento,CA,"3,427","6,243,538"
001113,Antelope Valley College,Lancaster,CA,"1,847","3,180,738"
001116,Art Center College of Design,Pasadena,CA,637,"1,472,517"
016517,Art Institute of Southern California,Laguna Beach,CA,105,"226,457"
001117,Azusa Pacific University,Azusa,CA,819,"1,480,615"
001118,Bakersfield College,Bakersfield,CA,"5,093","9,073,853"
030674,Baldwin Park Adult School,Baldwin Park,CA,107,"155,755"
001119,Barstow Community College,Barstow,CA,523,"898,609"
001121,Bethany College of the Assemblies of God,Scotts Valley,CA,198,"420,808"
032663,Bethesda Christian University,Anaheim,CA,28,"65,054"
001122,Biola University,La Mirada,CA,611,"1,076,192"
031286,Business & Technology Training Institute,Sacramento,CA,35,"26,795"
006972,Butte College,Oroville,CA,"3,149","5,765,909"
001124,Cabrillo College,Aptos,CA,"1,584","2,807,212"
001125,California Baptist University,Riverside,CA,758,"1,382,855"
001127,California College of Arts & Crafts,Oakland,CA,302,"605,463"
012154,California Institute of Integral Studies,San Francisco,CA,15,"15,573"
001131,California Institute of Technology,Pasadena,CA,139,"278,497"
001132,California Institute of the Arts,Valencia,CA,249,"511,167"
001133,California Lutheran University,Thousand Oaks,CA,379,"763,961"
001134,California Maritime Academy,Vallejo,CA,176,"408,089"
001143,California Polytechnic State University,San Luis Obispo,CA,"3,701","7,581,741"
001144,"California State Polytechnic University, Pomona",Pomona,CA,"6,214","13,795,087"
001147,California State University - Fresno,Fresno,CA,"6,933","15,475,009"
001139,California State University - Long Beach,Long Beach,CA,"8,145","16,736,520"
001140,California State University - Los Angeles,Los Angeles,CA,"6,745","14,797,742"
001150,California State University - Sacramento,Sacramento,CA,"6,791","14,006,916"
001142,California State University - San Bernardino,San Bernardino,CA,"5,082","10,615,316"
001141,California State University Dominguez Hills,Carson,CA,"4,012","8,093,784"
030113,CALIFORNIA STATE UNIVERSITY SAN MARCOS,San Marcos,CA,"1,853","3,461,830"
007993,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",Bakersfield,CA,"2,338","4,875,497"
001146,"California State University, Chico",Chico,CA,"4,913","10,742,717"
001137,"California State University, Fullerton",Fullerton,CA,"6,792","13,916,098"
001138,"California State University, Hayward",Hayward,CA,"3,024","6,305,188"
032603,"California State University, Monterey Bay",Seaside,CA,942,"2,034,076"
001153,"California State University, Northridge",Northridge,CA,"9,318","19,884,383"
001157,"California State University, Stanislaus",Turlock,CA,"2,300","4,581,975"
006973,Canada College,Redwood City,CA,220,"388,219"
032043,Career Training Center,Atascadero,CA,6,"9,754"
006731,Casa Loma College,Van Nuys,CA,299,"614,421"
016516,Center for Employment Training,San Jose,CA,"1,409","2,539,457"
001161,Cerritos Community College,Norwalk,CA,"5,252","9,374,610"
001162,Chabot College,Hayward,CA,"2,235","3,843,788"
001163,Chaffey Community College,Rancho Cucamonga,CA,"1,339","2,306,943"
001164,Chapman University,Orange,CA,"1,297","2,222,947"
013653,Charles R. Drew University of Medicine and Science,Los Angeles,CA,87,"184,519"
012031,Christian Heritage College,El Cajon,CA,226,"455,433"
001166,Citrus College,Glendora,CA,"1,654","2,802,761"
001170,Claremont McKenna College,Claremont,CA,168,"355,195"
014919,Cleveland Chiropractic College,Los Angeles,CA,58,"110,000"
016330,Clovis Adult Education,Clovis,CA,150,"211,255"
013536,Coastline Community College,Fountain Valley,CA,330,"544,431"
001177,Cogswell Polytechnical College,Sunnyvale,CA,81,"165,468"
009273,Coleman College - La Mesa,La Mesa,CA,654,"1,150,759"
006720,College of Alameda,Alameda,CA,751,"1,852,678"
001178,College of Marin,Kentfield,CA,936,"1,665,654"
001179,College of Notre Dame,Belmont,CA,258,"534,123"
001181,College of San Mateo,San Mateo,CA,532,"1,021,153"
008903,College of the Canyons,Santa Clarita,CA,551,"1,069,783"
001182,College of the Desert,Palm Desert,CA,"1,795","2,990,043"
001185,College of the Redwoods,Eureka,CA,"2,037","3,717,197"
001186,College of the Sequoias,Visalia,CA,"3,454","6,517,475"
001187,College of the Siskiyous,Weed,CA,659,"1,240,213"
007707,Columbia College,Sonora,CA,444,"802,366"
014697,Columbia College-Hollywood,Tarzana,CA,57,"121,822"
001188,Compton Community College,Compton,CA,"1,473","2,834,304"
013885,Concordia University,Irvine,CA,197,"363,841"
001190,Contra Costa College,San Pablo,CA,"1,182","1,948,368"
007536,Cosumnes River College,Sacramento,CA,"1,815","3,390,802"
009272,Crafton Hills College,Yucaipa,CA,954,"1,554,521"
001192,Cuesta College,San Luis Obispo,CA,"1,373","2,492,044"
014435,CUYAMACA COLLEGE,El Cajon,CA,871,"1,618,082"
001193,Cypress College,Cypress,CA,"2,266","4,394,502"
004480,De Anza Community College,Cupertino,CA,"1,666","3,020,973"
030256,Dell'Arte School of Physical Theatre,Blue Lake,CA,2,"3,900"
001191,Diablo Valley College,Pleasant Hill,CA,"1,028","1,732,412"
001196,Dominican College of San Rafael,San Rafael,CA,391,"768,821"
009158,Don Bosco Technical Institute,Rosemead,CA,28,"66,426"
031095,Dongguk  Royal University,Los Angeles,CA,37,"65,338"
010229,D-Q University,Davis,CA,60,"125,157"
001222,East Los Angeles College,Monterey Park,CA,"2,770","5,570,595"
001197,El Camino College District,Torrance,CA,"2,465","4,401,150"
034134,ENGLISH CENTER FOR INTERNATIONAL WOMEN,OAKLAND,CA,33,"73,554"
012452,Evergreen Valley College,San Jose,CA,"1,462","2,662,764"
008597,Feather River Community College,Quincy,CA,227,"439,323"
031313,Five Branches Institute,Santa Cruz,CA,13,"23,573"
001199,Foothill College,Los Altos Hills,CA,469,"858,221"
001307,Fresno City College,Fresno,CA,"6,277","11,361,869"
001253,Fresno Pacific University,Fresno,CA,451,"887,013"
001201,Fullerton College,Fullerton,CA,"2,098","3,975,684"
001202,Gavilan College,Gilroy,CA,511,"920,346"
015765,Gemological Institute of America,Carlsbad,CA,32,"57,268"
001203,Glendale Community College,Glendale,CA,"3,328","6,431,055"
001205,Golden Gate University,San Francisco,CA,154,"244,628"
001206,Golden West College,Huntington Beach,CA,"2,093","4,480,877"
001208,Grossmont College,El Cajon,CA,"2,629","4,723,196"
012522,Hacienda La Puente Adult Education,La Puente,CA,231,"417,405"
001209,Hartnell Community College,Salinas,CA,"1,677","2,739,431"
001171,Harvey Mudd College,Claremont,CA,86,"156,290"
014111,"Heald College, School of Business",Concord,CA,490,"931,544"
015453,"Heald College, School of Technology",Martinez,CA,461,"876,665"
007234,"Heald College, Schools of Business and Technology",San Francisco,CA,"1,860","3,418,791"
007477,"Heald College, Schools of Business and Technology",Rancho Cordova,CA,732,"1,469,867"
008093,"Heald College, Schools of Business and Technology",Fresno,CA,852,"1,678,908"
008532,"Heald College, Schools of Business and Technology",Hayward,CA,"1,094","2,108,061"
025931,"Heald College, Schools of Business and Technology",Roseville,CA,589,"1,008,125"
025932,"Heald College, Schools of Business and Technology",Milpitas,CA,761,"1,357,101"
025933,"Heald College, Schools of Business and Technology",Stockton,CA,479,"995,323"
030340,"Heald College, Schools of Business and Technology",Salinas,CA,579,"1,094,867"
015974,Heald College-Schools of Business and Technology,Santa Rosa,CA,220,"384,833"
001183,Holy Names College,Oakland,CA,142,"270,144"
001252,Hope International University,Fullerton,CA,251,"449,496"
001149,Humboldt State University,Arcata,CA,"2,923","6,282,247"
001212,Humphreys College,Stockton,CA,485,"852,666"
017061,Hypnosis Motivation Institute,Tarzana,CA,85,"133,538"
001214,Imperial Valley College,Imperial,CA,"2,631","4,920,723"
025395,Irvine Valley College,Irvine,CA,986,"1,960,437"
004484,John F. Kennedy University,Orinda,CA,47,"56,810"
009268,Kelsey-Jenney College,San Diego,CA,458,"810,060"
001215,La Sierra University,Riverside,CA,407,"832,350"
012907,Lake Tahoe Community College,South Lake Tahoe,CA,178,"252,193"
001266,Laney College,Oakland,CA,"2,072","4,336,566"
030357,Las Positas College,Livermore,CA,355,"520,220"
001217,Lassen College,Susanville,CA,409,"818,955"
016029,LIFE Bible College,San Dimas,CA,192,"305,543"
015732,Life Chiropractic College West,San Lorenzo,CA,10,"12,528"
001218,Loma Linda University,Loma Linda,CA,421,"824,540"
001219,LONG BEACH CITY COLLEGE,Long Beach,CA,"7,210","12,248,450"
