PELLID,Institution,State,Recipients,Awards,
1061,Alaska Pacific University                                             ,AK,98,"176,368",
31603,Alaska Vocational Technical Center                                    ,AK,55,"111,288",
17066,Career Academy                                                        ,AK,186,"300,101",
17377,Charter College                                                       ,AK,245,"380,022",
34613,Ilisagvik College                                                     ,AK,12,"24,900",
25833,New Concepts Beauty School                                            ,AK,12,"20,946",
1062,Sheldon Jackson College                                               ,AK,48,"105,451",
11462,University Of Alaska - Anchorage                                      ,AK,"1,910","3,499,882",
1063,University Of Alaska At Fairbanks                                     ,AK,"1,220","2,461,738",
1065,University Of Alaska At Southeast                                     ,AK,233,"408,827",
1002,Alabama Agricultural & Mechanical University                          ,AL,"2,488","6,163,714",
1034,Alabama Southern Community College                                    ,AL,895,"1,805,533",
30325,Alabama State College Of Barber Styling                               ,AL,46,"97,581",
1005,Alabama State University                                              ,AL,"3,131","7,504,705",
1008,Athens State University                                               ,AL,821,"1,580,385",
1009,Auburn University                                                     ,AL,"2,685","5,762,405",
8310,Auburn University Montgomery                                          ,AL,"1,590","3,354,757",
5704,Bessemer State Technical College                                      ,AL,716,"1,068,798",
5733,Bevill State Community College                                        ,AL,"1,991","4,077,960",
1012,Birmingham Southern College                                           ,AL,207,"449,587",
1030,Bishop State Community College - Main Campus                          ,AL,"3,463","7,242,424",
1013,Calhoun State Community College                                       ,AL,"2,457","4,377,051",
16592,Capps College                                                         ,AL,841,"1,344,746",
1007,Central Alabama Community College                                     ,AL,840,"1,255,224",
12182,Chattahoochee Valley Community College                                ,AL,889,"1,785,314",
10554,Concordia College                                                     ,AL,463,"981,456",
5698,Douglas Macarthur State Technical College                             ,AL,418,"636,004",
26055,Education America - Southeast College Of Technology                   ,AL,"1,974","3,531,776",
1015,Enterprise State Junior College                                       ,AL,776,"1,538,042",
1060,Faulkner State Community College                                      ,AL,"1,129","2,211,859",
1003,Faulkner University                                                   ,AL,"1,388","2,698,687",
4462,Gadsden Business College                                              ,AL,279,"487,709",
1017,Gadsden State Community College                                       ,AL,"1,565","3,039,252",
16445,Gaither & Company Beauty College                                      ,AL,102,"209,258",
1018,George C. Wallace Community College                                   ,AL,"2,081","3,267,618",
7871,George C. Wallace State Community College                             ,AL,"1,717","3,586,766",
9980,George Corley Wallace State Community College                         ,AL,"1,149","2,187,431",
5705,Harry M Ayers State Technical College                                 ,AL,634,"1,060,728",
10193,Herzing College                                                       ,AL,479,"933,316",
1019,Huntingdon College                                                    ,AL,155,"336,605",
30280,"Huntsville Business Institute, Llc                                    ",AL,72,"90,278",
15370,International Bible College                                           ,AL,82,"169,724",
5260,J F Drake State Technical College                                     ,AL,315,"604,704",
1020,Jacksonville State University                                         ,AL,"2,596","5,671,260",
1021,Jefferson Davis Community College                                     ,AL,716,"1,372,164",
1022,Jefferson State Community College                                     ,AL,"1,342","2,355,949",
