OPEID,Institution,State,Recipients,Awards
106100,ALASKA PACIFIC UNIVERSITY,AK,110,"268,100"
3160300,ALASKA VOCATIONAL TECHNICAL CENTER,AK,79,"206,446"
2541000,CAREER ACADEMY,AK,244,"537,802"
2576900,CHARTER COLLEGE,AK,260,"506,868"
3461300,ILISAGVIK COLLEGE,AK,94,"196,369"
106200,SHELDON JACKSON COLLEGE,AK,69,"161,015"
1146200,UNIVERSITY OF ALASKA - ANCHORAGE,AK,"2,257","4,799,012"
106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,"1,280","2,952,984"
106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,314,"669,813"
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,"3,242","9,000,135"
103400,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,947,"2,560,714"
3032500,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,37,"109,319"
100500,ALABAMA STATE UNIVERSITY,AL,"3,810","11,036,184"
100800,ATHENS STATE UNIVERSITY,AL,887,"2,076,359"
100900,AUBURN UNIVERSITY,AL,"3,057","7,884,228"
831000,AUBURN UNIVERSITY MONTGOMERY,AL,"1,626","4,070,074"
570400,BESSEMER STATE TECHNICAL COLLEGE,AL,"1,032","1,752,942"
573300,BEVILL STATE COMMUNITY COLLEGE,AL,759,"1,754,644"
573301,BEVILL STATE COMMUNITY COLLEGE - BREWER CAMPUS,AL,610,"1,445,104"
573302,BEVILL STATE COMMUNITY COLLEGE - HAMILTON CAMPUS,AL,632,"1,564,776"
573305,BEVILL STATE COMMUNITY COLLEGE - WALKER COLLEGE CAMPUS,AL,678,"1,576,708"
101200,BIRMINGHAM SOUTHERN COLLEGE,AL,172,"445,231"
103000,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,"4,312","11,145,001"
101300,CALHOUN COMMUNITY COLLEGE-DECATUR,AL,"3,542","7,740,970"
2341000,CAPPS COLLEGE,AL,"1,097","2,186,152"
3361400,CAPPS COLLEGE,AL,158,"338,831"
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,"1,120","1,950,785"
1218200,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,"1,255","3,161,707"
1055400,CONCORDIA COLLEGE,AL,855,"2,340,301"
569800,DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,AL,454,"748,638"
101500,ENTERPRISE-OZARK COMMUNITY COLLEGE,AL,793,"1,893,986"
106000,FAULKNER STATE COMMUNITY COLLEGE,AL,"1,617","3,677,683"
100300,FAULKNER UNIVERSITY,AL,"1,586","3,931,104"
446200,GADSDEN BUSINESS COLLEGE,AL,266,"566,508"
101700,GADSDEN STATE COMMUNITY COLLEGE,AL,"2,122","4,993,614"
101706,GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS,AL,"1,131","2,288,085"
2323800,GAITHER & COMPANY BEAUTY COLLEGE,AL,53,"141,438"
101800,GEORGE C. WALLACE COMMUNITY COLLEGE,AL,"2,489","4,836,470"
787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,AL,"2,603","6,758,960"
569900,GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION,AL,"1,550","3,815,314"
2199700,HERITAGE CHRISTIAN UNIVERSITY,AL,71,"162,181"
1019300,HERZING COLLEGE,AL,422,"974,949"
101900,HUNTINGDON COLLEGE,AL,194,"475,103"
526000,J F DRAKE STATE TECHNICAL COLLEGE,AL,666,"1,537,413"
102000,JACKSONVILLE STATE UNIVERSITY,AL,"3,134","8,318,045"
102100,JEFFERSON DAVIS COMMUNITY COLLEGE,AL,974,"2,411,905"
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,"1,985","4,304,626"
569300,JOHN M. PATTERSON STATE TECHNICAL COLLEGE,AL,632,"1,066,188"
102300,JUDSON COLLEGE,AL,156,"384,317"
105900,LAWSON STATE COMMUNITY COLLEGE,AL,"1,924","5,182,153"
898800,LURLEEN B. WALLACE STATE JUNIOR COLLEGE-,AL,475,"1,284,664"
102600,MARION MILITARY INSTITUTE,AL,66,"171,660"
102800,MILES COLLEGE,AL,"1,669","4,835,682"
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,"1,201","2,593,832"
569702,NORTHWEST - SHOALS COMMUNITY COLLEGE - PHIL CAMPBELL CAMPUS,AL,521,"1,308,929"
569700,NORTHWEST-SHOALS COMMUNITY COLLEGE,AL,"2,125","5,141,395"
103300,OAKWOOD COLLEGE,AL,795,"2,225,767"
2296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,69,"152,436"
569200,REID STATE TECHNICAL COLLEGE,AL,698,"1,378,778"
2605500,REMINGTON COLLEGE - MOBILE CAMPUS,AL,"2,510","5,542,091"
103600,SAMFORD UNIVERSITY,AL,385,"960,694"
569100,SHELTON STATE COMMUNITY COLLEGE,AL,"3,120","7,495,608"
103800,SNEAD STATE COMMUNITY COLLEGE,AL,762,"1,787,297"
2270400,SOUTHEASTERN BIBLE COLLEGE,AL,107,"233,613"
3459300,SOUTHEASTERN SCHOOL OF COSMETOLOGY,AL,171,"417,092"
2503400,SOUTHERN CHRISTIAN UNIVERSITY,AL,205,"492,911"
1123700,SOUTHERN COMMUNITY COLLEGE,AL,71,"196,582"
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,"1,868","4,630,018"
104100,SPRING HILL COLLEGE,AL,378,"943,116"
104400,STILLMAN COLLEGE,AL,"1,129","3,407,871"
104600,TALLADEGA COLLEGE,AL,340,"1,041,501"
573400,TRENHOLM STATE TECHNICAL COLLEGE,AL,755,"1,423,506"
104700,TROY STATE UNIVERSITY,AL,"4,519","10,707,378"
105000,TUSKEGEE UNIVERSITY,AL,"1,377","4,189,807"
105100,UNIVERSITY OF ALABAMA,AL,"3,862","10,586,482"
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"3,271","8,610,015"
105500,UNIVERSITY OF ALABAMA AT HUNTSVILLE,AL,"1,286","3,322,255"
102900,UNIVERSITY OF MOBILE,AL,941,"2,340,999"
100400,UNIVERSITY OF MONTEVALLO,AL,706,"1,753,196"
101600,UNIVERSITY OF NORTH ALABAMA,AL,"1,690","4,310,909"
105700,UNIVERSITY OF SOUTH ALABAMA,AL,"3,431","8,692,375"
102400,UNIVERSITY OF WEST ALABAMA,AL,844,"2,409,407"
3010600,VIRGINIA COLLEGE,AL,"5,564","11,762,220"
3065100,ARKADELPHIA BEAUTY COLLEGE,AR,54,"108,883"
108700,ARKANSAS BAPTIST COLLEGE,AR,260,"765,546"
3005100,ARKANSAS BEAUTY SCHOOL,AR,63,"143,709"
3007600,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,58,"116,337"
3292300,ARKANSAS CAREER TRAINING INSTITUTE,AR,92,"173,199"
3023400,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,79,"210,896"
2363500,ARKANSAS CONTINENTAL BEAUTY COLLEGE,AR,112,"252,340"
1286000,ARKANSAS NORTHEASTERN COLLEGE,AR,"1,390","3,473,235"
1286001,ARKANSAS NORTHEASTERN COLLEGE -,AR,199,"506,321"
109000,ARKANSAS STATE UNIVERSITY,AR,"6,424","16,292,186"
108900,ARKANSAS TECH UNIVERSITY,AR,"2,332","6,034,295"
108906,ARKANSAS TECH UNIVERSITY - ARKANSAS VALLEY TECHNICAL INSTITUTE OF ATU,AR,341,"785,711"
2538500,"ARTHUR'S BEAUTY COLLEGE, INC",AR,155,"313,035"
3127200,ASKINS VO TECH,AR,30,"27,710"
3105200,BAPTIST HEALTH MEDICAL CENTER,AR,368,"768,603"
2260400,BEE JAY'S HAIRSTYLING ACADEMY,AR,27,"62,731"
2052200,BLACK RIVER TECHNICAL COLLEGE,AR,"1,054","2,514,373"
3212300,BLYTHEVILLE ACADEMY OF COSMETOLOGY,AR,26,"73,094"
2341700,CAREER ACADEMY OF HAIR DESIGN,AR,62,"126,418"
109300,CENTRAL BAPTIST COLLEGE,AR,136,"361,460"
2220900,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,501,"1,231,603"
109500,CROWLEY'S RIDGE COLLEGE,AR,76,"159,652"
704400,CROWLEY'S RIDGE TECHNICAL INSTITUTE,AR,221,"485,226"
3116800,DELUXE BEAUTY SCHOOL,AR,35,"103,685"
1226000,EAST ARKANSAS COMMUNITY COLLEGE,AR,"1,005","2,493,815"
2272400,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,731,"1,467,784"
3124900,EATON BEAUTY STYLIST COLLEGE,AR,37,"77,660"
792100,FAYETTEVILLE BEAUTY COLLEGE,AR,45,"86,560"
,FOOTHILLS TECHNICAL INSTITUTE,AR,216,"493,256"
109700,HARDING UNIVERSITY,AR,"1,406","3,748,220"
109800,HENDERSON STATE UNIVERSITY,AR,"1,562","4,130,265"
109900,HENDRIX COLLEGE,AR,239,"634,702"
3007100,HOT SPRINGS BEAUTY COLLEGE,AR,77,"198,261"
2330800,JEFFERSON SCHOOL OF NURSING,AR,56,"116,731"
110000,JOHN BROWN UNIVERSITY,AR,475,"1,027,140"
2525800,LEES SCHOOL OF COSMETOLOGY,AR,28,"80,586"
108800,LYON COLLEGE,AR,180,"483,386"
3254300,MARGARET'S  HAIR ACADEMY,AR,53,"122,254"
2287400,MARSHA KAY BEAUTY COLLEGE,AR,24,"58,161"
1074100,MELLIE'S BEAUTY COLLEGE,AR,45,"83,934"
2348200,MID-SOUTH COMMUNITY COLLEGE,AR,712,"1,557,394"
1210500,NATIONAL PARK COMMUNITY COLLEGE,AR,"1,310","2,943,542"
2284200,NEW TYLER BARBER COLLEGE,AR,100,"235,936"
1226100,NORTH ARKANSAS COLLEGE,AR,"1,167","2,913,095"
3688300,NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER,AR,40,"80,507"
3063300,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,894,"1,752,643"
2073700,NORTHWEST TECHNICAL INSTITUTE,AR,191,"394,246"
110200,OUACHITA BAPTIST UNIVERSITY,AR,438,"1,167,773"
997600,OUACHITA TECHNICAL COLLEGE,AR,480,"1,054,491"
2087000,OZARKA COLLEGE,AR,682,"1,803,017"
110300,PHILANDER SMITH COLLEGE,AR,794,"2,218,480"
110400,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,"1,307","3,359,434"
