OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
106100,1061,ALASKA PACIFIC UNIVERSITY,AK,private 4 year,150,"357,427"
3160300,31603,ALASKA VOCATIONAL TECHNICAL CENTER,AK,public 2 year,74,"207,152"
2541000,17066,CAREER ACADEMY,AK,proprietary,286,"660,342"
2576900,17377,CHARTER COLLEGE,AK,proprietary,259,"467,993"
3461300,34613,ILISAGVIK COLLEGE,AK,public 2 year,24,"56,053"
106200,1062,SHELDON JACKSON COLLEGE,AK,private 4 year,52,"140,362"
1146200,11462,UNIVERSITY OF ALASKA - ANCHORAGE,AK,public 4 year,"2,479","5,423,479"
106300,1063,UNIVERSITY OF ALASKA FAIRBANKS,AK,public 4 year,"1,242","2,807,207"
106500,1065,UNIVERSITY OF ALASKA SOUTHEAST,AK,public 4 year,314,"697,762"
100200,1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,public 4 year,"3,477","9,527,332"
103400,1034,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,public 2 year,820,"2,000,144"
3032500,30325,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,proprietary,18,"57,332"
100500,1005,ALABAMA STATE UNIVERSITY,AL,public 4 year,"3,526","10,420,257"
100800,1008,ATHENS STATE UNIVERSITY,AL,public 4 year,"1,044","2,311,921"
100900,1009,AUBURN UNIVERSITY,AL,public 4 year,"2,643","7,017,618"
831000,8310,AUBURN UNIVERSITY MONTGOMERY,AL,public 4 year,"1,552","3,828,031"
573300,5733,BEVILL STATE COMMUNITY COLLEGE,AL,public 2 year,"2,515","5,922,720"
101200,1012,BIRMINGHAM SOUTHERN COLLEGE,AL,private 4 year,169,"444,392"
103000,1030,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,public 2 year,"2,177","5,170,084"
3783300,37833,BLUE CLIFF CAREER COLLEGE,AL,proprietary,140,"287,553"
101300,1013,CALHOUN COMMUNITY COLLEGE-DECATUR,AL,public 2 year,"3,046","6,301,056"
2341000,16592,CAPPS COLLEGE,AL,proprietary,"1,033","2,443,878"
3361400,33614,CAPPS COLLEGE,AL,proprietary,376,"945,026"
100700,1007,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,public 2 year,"1,340","3,249,135"
1218200,12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,public 2 year,"1,090","2,619,827"
1055400,10554,CONCORDIA COLLEGE,AL,private 4 year,753,"2,058,130"
101500,1015,ENTERPRISE-OZARK COMMUNITY COLLEGE,AL,public 2 year,779,"1,764,588"
