PELLID,OPEID,Name,City,State,Type & Control,Recips,Awards
1061,106100,ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,Private 4 Year,131,"305,883"
31603,3160300,ALASKA VOCATIONAL TECHNICAL CENTER,SEWARD,AK,Public 2 Year,77,"224,410"
17066,2541000,CAREER ACADEMY,ANCHORAGE,AK,Proprietary,268,"642,549"
17377,2576900,CHARTER COLLEGE,ANCHORAGE,AK,Proprietary,452,"984,950"
34613,3461300,ILISAGVIK COLLEGE,BARROW,AK,Public 2 Year,24,"57,774"
11462,1146200,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,Public 4 Year,"2,508","6,159,616"
1063,106300,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,Public 4 Year,"1,186","2,977,765"
1065,106500,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,Public 4 Year,315,"692,990"
1002,100200,ALABAMA AGRCLTL & MECHL UNIV,NORMAL,AL,Public 4 Year,"2,856","9,079,758"
1034,103400,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,Public 2 Year,793,"1,915,174"
30325,3032500,ALABAMA STATE CLG BARBER STYLING,BIRMINGHAM,AL,Proprietary,27,"68,652"
1005,100500,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,Public 4 Year,"3,678","11,724,543"
16885,2503400,AMRIDGE UNIVERSITY,MONTGOMERY,AL,Private 4 Year,223,"559,640"
1008,100800,ATHENS STATE UNIVERSITY,ATHENS,AL,Public 4 Year,"1,078","2,606,650"
1009,100900,AUBURN UNIVERSITY,AUBURN,AL,Public 4 Year,"2,824","8,115,971"
8310,831000,AUBURN UNIVERSITY-MONTGOMERY,MONTGOMERY,AL,Public 4 Year,"1,607","4,125,084"
5733,573300,BEVILL STATE CMTY COLLEGE-WALKER,SUMITON,AL,Public 2 Year,"2,651","6,635,317"
1012,101200,BIRMINGHAM SOUTHERN COLLEGE,BIRMINGHAM,AL,Private 4 Year,224,"659,643"
1030,103000,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,Public 2 Year,337,"949,216"
37833,3783300,BLUE CLIFF CAREER COLLEGE,MOBILE,AL,Proprietary,123,"281,868"
1013,101300,CALHOUN COMMUNITY COLLEGE,DECATUR,AL,Public 2 Year,"3,185","7,327,902"
16592,2341000,CAPPS COLLEGE,MOBILE,AL,Proprietary,"1,044","2,714,291"
1007,100700,CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL,Public 2 Year,"1,440","3,710,987"
12182,1218200,CHATTAHOOCHEE VALLEY CMTY CLG,PHENIX CITY,AL,Public 2 Year,989,"2,646,261"
10554,1055400,CONCORDIA COLLEGE,SELMA,AL,Private 4 Year,505,"1,481,313"
1015,101500,ENTERPRISE-OZARK COMMUNITY COLLEGE,ENTERPRISE,AL,Public 2 Year,903,"2,204,669"
1060,106000,FAULKNER STATE COMMUNITY COLLEGE,BAY MINETTE,AL,Public 2 Year,"1,677","4,255,445"
1003,100300,FAULKNER UNIVERSITY,MONTGOMERY,AL,Private 4 Year,"1,762","4,863,804"
1017,101700,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,Public 2 Year,"2,785","7,120,725"
1018,101800,GEORGE C WALLACE COMMUNITY COLLEGE,DOTHAN,AL,Public 2 Year,"2,007","3,810,133"
7871,787100,GEORGE C WALLACE STATE CMTY CLG,HANCEVILLE,AL,Public 2 Year,"2,635","6,864,500"
9980,569900,GEORGE C WALLACE STATE CMTY COLLEGE,SELMA,AL,Public 2 Year,"1,526","4,275,993"
5734,573400,H. COUNCILL TRENHOLM STATE TECH COLLEGE,MONTGOMERY,AL,Public 2 Year,"1,060","1,953,289"
15370,2199700,HERITAGE CHRISTIAN UNIVERSITY,FLORENCE,AL,Private 4 Year,37,"101,384"
10193,1019300,HERZING COLLEGE,BIRMINGHAM,AL,Proprietary,419,"1,058,132"
