PELLID,OPEID,GAPSID,Name,State,Type & Control,Recipients,Awards,,,,,,,
41386,4138600,6336,ALASKA CHRISTIAN COLLEGE,AK,Private 2 Year,17,"69,272",,,,,,,
1061,106100,1060,ALASKA PACIFIC UNIVERSITY,AK,Private 4 Year,134,"385,254",,,,,,,
31603,3160300,4845,ALASKA VOCATIONAL TECHNICAL CENTER,AK,Public 2 year,86,"225,559",,,,,,,
17066,2541000,4372,CAREER ACADEMY,AK,Proprietary,345,"998,016",,,,,,,
17377,2576900,0867,CHARTER COLLEGE,AK,Proprietary,826,"1,918,720",,,,,,,
34613,3461300,5010,ILISAGVIK COLLEGE,AK,Public 2 year,28,"71,312",,,,,,,
11462,1146200,3439,UNIVERSITY OF ALASKA - ANCHORAGE,AK,Public 4 year,"2,625","6,917,427",,,,,,,
1063,106300,0010,UNIVERSITY OF ALASKA FAIRBANKS,AK,Public 4 year,"1,237","3,438,245",,,,,,,
1065,106500,1061,UNIVERSITY OF ALASKA SOUTHEAST,AK,Public 4 year,322,"768,722",,,,,,,
1002,100200,1027,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,Public 4 year,"3,041","10,233,917",,,,,,,
1034,103400,1048,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,Public 2 year,908,"2,494,920",,,,,,,
30325,3032500,4605,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,Proprietary,17,"61,503",,,,,,,
1005,100500,1031,ALABAMA STATE UNIVERSITY,AL,Public 4 year,"3,794","13,045,160",,,,,,,
16885,2503400,4296,AMRIDGE UNIVERSITY,AL,Private 4 Year,233,"620,796",,,,,,,
1008,100800,0002,ATHENS STATE UNIVERSITY,AL,Public 4 year,"1,176","3,285,554",,,,,,,
1009,100900,0003,AUBURN UNIVERSITY,AL,Public 4 year,"2,793","9,062,149",,,,,,,
8310,831000,3070,AUBURN UNIVERSITY MONTGOMERY,AL,Public 4 year,"1,576","4,676,141",,,,,,,
5733,573300,2775,BEVILL STATE COMMUNITY COLLEGE,AL,Public 2 year,"2,965","8,126,371",,,,,,,
1012,101200,1033,BIRMINGHAM SOUTHERN COLLEGE,AL,Private 4 Year,245,"848,081",,,,,,,
1030,103000,1045,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,Public 2 year,"1,075","1,972,487",,,,,,,
37833,3783300,5527,BLUE CLIFF CAREER COLLEGE,AL,Proprietary,167,"451,180",,,,,,,
1007,100700,1032,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,Public 2 year,"1,512","4,284,210",,,,,,,
12182,1218200,3515,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,Public 2 year,"1,169","3,322,375",,,,,,,
41215,4121500,6241,COLUMBIA SOUTHERN UNIVERSITY,AL,Proprietary,771,"1,704,169",,,,,,,
10554,1055400,3357,CONCORDIA COLLEGE,AL,Private 4 Year,613,"2,042,380",,,,,,,
1015,101500,1034,ENTERPRISE-OZARK COMMUNITY COLLEGE,AL,Public 2 year,"1,104","3,076,165",,,,,,,
1060,106000,1059,FAULKNER STATE COMMUNITY COLLEGE,AL,Public 2 year,"1,918","4,997,756",,,,,,,
1003,100300,5082,FAULKNER UNIVERSITY,AL,Private 4 Year,"1,857","5,762,612",,,,,,,
33614,3361400,1011,FORTIS COLLEGE,AL,Proprietary,331,"802,117",,,,,,,
16592,2341000,4227,FORTIS COLLEGE,AL,Proprietary,"1,397","3,615,256",,,,,,,
1017,101700,1036,GADSDEN STATE COMMUNITY COLLEGE,AL,Public 2 year,"3,579","9,975,018",,,,,,,
1018,101800,1037,GEORGE C. WALLACE COMMUNITY COLLEGE,AL,Public 2 year,"2,372","5,311,478",,,,,,,
7871,787100,3013,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,AL,Public 2 year,"2,915","8,481,170",,,,,,,
9980,569900,2770,GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION,AL,Public 2 year,"1,695","5,144,866",,,,,,,
5734,573400,2776,H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE,AL,Public 2 year,"1,119","2,402,258",,,,,,,
15370,2199700,3933,HERITAGE CHRISTIAN UNIVERSITY,AL,Private 4 Year,35,"95,957",,,,,,,
10193,1019300,0599,HERZING UNIVERSITY,AL,Proprietary,376,"1,046,604",,,,,,,
1019,101900,1038,HUNTINGDON COLLEGE,AL,Private 4 Year,337,"1,037,772",,,,,,,
38943,3894300,5888,HUNTSVILLE BIBLE COLLEGE,AL,Private 4 Year,17,"44,104",,,,,,,
5260,526000,2617,J F DRAKE STATE TECHNICAL COLLEGE,AL,Public 2 year,859,"2,394,644",,,,,,,
1020,102000,0005,JACKSONVILLE STATE UNIVERSITY,AL,Public 4 year,"3,261","10,554,136",,,,,,,
1021,102100,1039,JEFFERSON DAVIS COMMUNITY COLLEGE,AL,Public 2 year,805,"2,156,360",,,,,,,
1022,102200,0006,JEFFERSON STATE COMMUNITY COLLEGE,AL,Public 2 year,"2,088","5,071,558",,,,,,,
1013,101300,0004,JOHN C CALHOUN STATE COMMUNITY COLLEGE,AL,Public 2 year,"3,720","9,377,510",,,,,,,
1023,102300,1040,JUDSON COLLEGE,AL,Private 4 Year,133,"409,419",,,,,,,
1059,105900,1058,LAWSON STATE COMMUNITY COLLEGE,AL,Public 2 year,"2,659","7,578,114",,,,,,,
8988,898800,3137,LURLEEN B. WALLACE COMMUNITY COLLEGE,AL,Public 2 year,"1,117","3,394,557",,,,,,,
1026,102600,1042,MARION MILITARY INSTITUTE,AL,Public 2 year,160,"545,868",,,,,,,
1028,102800,1043,MILES COLLEGE,AL,Private 4 Year,"1,611","5,673,444",,,,,,,
41165,4116500,5962,MIMI'S BEAUTY ACADEMY OF COSMETOLOGY,AL,Proprietary,21,"55,542",,,,,,,
1031,103100,1046,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,Public 2 year,"1,985","5,546,599",,,,,,,
5697,569700,2768,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,Public 2 year,"2,041","5,714,387",,,,,,,
1033,103300,1047,OAKWOOD COLLEGE,AL,Private 4 Year,781,"2,703,504",,,,,,,
16217,2296000,4132,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,Proprietary,63,"169,153",,,,,,,
5692,569200,2766,REID STATE TECHNICAL COLLEGE,AL,Public 2 year,524,"1,083,789",,,,,,,
26055,2605500,0896,REMINGTON COLLEGE - MOBILE CAMPUS,AL,Proprietary,"3,654","9,849,607",,,,,,,
1036,103600,1049,SAMFORD UNIVERSITY,AL,Private 4 Year,327,"1,002,452",,,,,,,
40673,4067300,6093,SELMA UNIVERSITY,AL,Private 4 Year,68,"155,352",,,,,,,
5691,569100,2765,SHELTON STATE COMMUNITY COLLEGE,AL,Public 2 year,"2,638","7,427,118",,,,,,,
1038,103800,1050,SNEAD STATE COMMUNITY COLLEGE,AL,Public 2 year,"1,194","3,503,963",,,,,,,
13857,2270400,4072,SOUTHEASTERN BIBLE COLLEGE,AL,Private 4 Year,99,"303,208",,,,,,,
