OPEID,Name,State,Type & Control,Recips,Awards
41386,ALASKA CHRISTIAN COLLEGE,AK,Private 2 Year,36,"133,425"
1061,ALASKA PACIFIC UNIVERSITY,AK,Private 4 Year,160,"519,326"
31603,ALASKA VOCATIONAL TECHNICAL CENTER,AK,Public 2 Year,98,"467,606"
25410,CAREER ACADEMY,AK,Proprietary 2 Year,352,"1,141,328"
25769,CHARTER COLLEGE,AK,Proprietary 4 Year,"1,721","6,152,843"
34613,ILISAGVIK COLLEGE,AK,Public 2 Year,47,"138,653"
11462,UNIVERSITY OF ALASKA ANCHORAGE,AK,Public 4 Year,"3,326","10,483,721"
1063,UNIVERSITY OF ALASKA FAIRBANKS,AK,Public 4 Year,"1,589","5,276,541"
1065,UNIVERSITY OF ALASKA SOUTHEAST,AK,Public 4 Year,449,"1,385,029"
1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,Public 4 Year,"3,163","14,753,439"
1034,ALABAMA SOUTHERN COMMUNITY COLLEGE,AL,Public 2 Year,"1,112","4,213,297"
30325,ALABAMA STATE COLLEGE OF BARBER STYLING,AL,Proprietary 2 Year,19,"88,200"
1005,ALABAMA STATE UNIVERSITY,AL,Public 4 Year,"4,025","18,596,151"
25034,AMRIDGE UNIVERSITY,AL,Private 4 Year,294,"1,179,857"
1008,ATHENS STATE UNIVERSITY,AL,Public 4 Year,"1,491","5,661,819"
1009,AUBURN UNIVERSITY,AL,Public 4 Year,"3,290","14,007,835"
8310,AUBURN UNIVERSITY MONTGOMERY,AL,Public 4 Year,"2,010","7,376,572"
5733,BEVILL STATE COMMUNITY COLLEGE,AL,Public 2 Year,"3,879","13,567,566"
1012,BIRMINGHAM SOUTHERN COLLEGE,AL,Private 4 Year,332,"1,451,291"
1030,BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS,AL,Public 2 Year,"2,717","9,517,987"
37833,BLUE CLIFF CAREER COLLEGE,AL,Proprietary 2 Year,153,"547,691"
40663,CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND,AL,Proprietary 2 Year,21,"96,620"
1007,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,Public 2 Year,"1,874","7,414,274"
12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,Public 2 Year,"1,336","4,987,663"
41215,COLUMBIA SOUTHERN UNIVERSITY,AL,Proprietary 4 Year,"2,283","8,330,965"
10554,CONCORDIA COLLEGE,AL,Private 4 Year,588,"2,439,542"
1015,ENTERPRISE STATE COMMUNITY COLLEGE,AL,Public 2 Year,"1,442","5,897,811"
1060,FAULKNER STATE COMMUNITY COLLEGE,AL,Public 2 Year,"2,546","8,979,862"
1003,FAULKNER UNIVERSITY,AL,Private 4 Year,"2,090","8,594,722"
23410,FORTIS COLLEGE,AL,Proprietary 2 Year,"1,959","7,121,079"
33614,FORTIS COLLEGE,AL,Proprietary 2 Year,355,"1,191,104"
1017,GADSDEN STATE COMMUNITY COLLEGE,AL,Public 2 Year,"4,628","15,462,769"
