OPEID,NAME,CITY,STATE,Type & Control,Recipients,Awards
884300,ALASKA BIBLE COLLEGE,GLENNALLEN,AK,Private 4 Year,12,"45,095"
4138600,ALASKA CHRISTIAN COLLEGE,SOLDOTNA,AK,Private 2 Year,45,"178,728"
106100,ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,Private 4 Year,185,"601,106"
3160300,AVTEC,SEWARD,AK,Public 2 Year,112,"429,151"
2541000,CAREER ACADEMY,ANCHORAGE,AK,Proprietary 2 Year,519,"1,916,410"
2576900,CHARTER COLLEGE,ANCHORAGE,AK,Proprietary 4 Year,"3,228","14,074,749"
3461300,ILISAGVIK COLLEGE,BARROW,AK,Public 2 Year,44,"133,052"
1146200,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,Public 4 Year,"4,551","15,558,411"
106300,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,Public 4 Year,"2,101","7,189,746"
106500,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,Public 4 Year,609,"1,862,408"
100200,ALABAMA AGRCLTL & MECHL UNIV,NORMAL,AL,Public 4 Year,"3,524","16,647,538"
103400,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,Public 2 Year,"1,283","5,260,047"
3032500,ALABAMA STATE CLG BARBER STYLING,BIRMINGHAM,AL,Proprietary 2 Year,33,"200,485"
100500,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,Public 4 Year,"4,094","19,667,889"
2503400,AMRIDGE UNIVERSITY,MONTGOMERY,AL,Private 4 Year,311,"1,374,419"
100800,ATHENS STATE UNIVERSITY,ATHENS,AL,Public 4 Year,"1,594","6,574,954"
100900,AUBURN UNIVERSITY,AUBURN,AL,Public 4 Year,"3,762","16,170,834"
831000,AUBURN UNIVERSITY-MONTGOMERY,MONTGOMERY,AL,Public 4 Year,"2,202","8,679,743"
573300,BEVILL STATE CMTY COLLEGE-WALKER,SUMITON,AL,Public 2 Year,"3,833","14,238,093"
101200,BIRMINGHAM SOUTHERN COLLEGE,BIRMINGHAM,AL,Private 4 Year,360,"1,536,499"
103000,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,Public 2 Year,"3,057","12,267,286"
3783300,BLUE CLIFF CAREER COLLEGE,MOBILE,AL,Proprietary 2 Year,140,"525,728"
