OPEID,NAME,CITY,STATE,Insttype,Recips,Awards
884300,ALASKA BIBLE COLLEGE,GLENNALLEN,AK,Private 4 Year,15,"64,426"
4138600,ALASKA CHRISTIAN COLLEGE,SOLDOTNA,AK,Private 2 Year,56,"200,063"
106100,ALASKA PACIFIC UNIVERSITY,ANCHORAGE,AK,Private 4 Year,157,"518,522"
3160300,AVTEC,SEWARD,AK,Public 2 Year,86,"337,220"
2541000,CAREER ACADEMY,ANCHORAGE,AK,Proprietary 2 Year,421,"1,370,255"
2576900,CHARTER COLLEGE,ANCHORAGE,AK,Proprietary 4 Year,"3,969","13,335,174"
3461300,ILISAGVIK COLLEGE,BARROW,AK,Public 2 Year,44,"140,503"
1146200,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,Public 4 Year,"5,025","16,562,023"
106300,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,Public 4 Year,"2,222","7,331,399"
106500,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,Public 4 Year,601,"1,872,920"
100200,ALABAMA AGRCLTL & MECHL UNIV,NORMAL,AL,Public 4 Year,"3,149","14,289,424"
103400,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,Public 2 Year,"1,195","4,340,788"
3032500,ALABAMA STATE CLG BARBER STYLING,BIRMINGHAM,AL,Proprietary 2 Year,34,"122,771"
100500,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,Public 4 Year,"4,233","18,201,252"
2503400,AMRIDGE UNIVERSITY,MONTGOMERY,AL,Private 4 Year,333,"1,120,488"
100800,ATHENS STATE UNIVERSITY,ATHENS,AL,Public 4 Year,"1,706","6,063,860"
100900,AUBURN UNIVERSITY,AUBURN,AL,Public 4 Year,"3,744","14,717,078"
831000,AUBURN UNIVERSITY-MONTGOMERY,MONTGOMERY,AL,Public 4 Year,"2,055","7,420,165"
573300,BEVILL STATE CMTY COLLEGE-WALKER,SUMITON,AL,Public 2 Year,"3,285","11,042,212"
