OPE_ID,NAME,CITY,STATE,Institution Type & Control, Total Recipients , Total Awards ,,,,,,,,,,,,,,,,,
100200,ALABAMA AGRCLTL & MECHL UNIV,NORMAL,AL,Public 4 Year,"3,111","$13,915,991 ",,,,,,,,,,,,,,,,,
100300,FAULKNER UNIVERSITY,MONTGOMERY,AL,Private 4 Year,"1,943","$7,406,640 ",,,,,,,,,,,,,,,,,
100400,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,Public 4 Year,"1,103","$4,597,237 ",,,,,,,,,,,,,,,,,
100500,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,Public 4 Year,"4,388","$18,811,092 ",,,,,,,,,,,,,,,,,
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL,Public 2 Year,"1,428","$5,070,075 ",,,,,,,,,,,,,,,,,
100800,ATHENS STATE UNIVERSITY,ATHENS,AL,Public 4 Year,"1,457","$5,264,535 ",,,,,,,,,,,,,,,,,
100900,AUBURN UNIVERSITY,AUBURN,AL,Public 4 Year,"3,361","$13,616,645 ",,,,,,,,,,,,,,,,,
101200,BIRMINGHAM SOUTHERN COLLEGE,BIRMINGHAM,AL,Private 4 Year,229,"$969,913 ",,,,,,,,,,,,,,,,,
101300,CALHOUN COMMUNITY COLLEGE,DECATUR,AL,Public 2 Year,"5,501","$18,105,408 ",,,,,,,,,,,,,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE,AL,Public 2 Year,"1,403","$5,020,266 ",,,,,,,,,,,,,,,,,
101600,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,Public 4 Year,"2,387","$9,594,086 ",,,,,,,,,,,,,,,,,
101700,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,Public 2 Year,"4,227","$14,240,979 ",,,,,,,,,,,,,,,,,
101800,GEORGE C WALLACE COMMUNITY COLLEGE,DOTHAN,AL,Public 2 Year,"3,297","$11,334,732 ",,,,,,,,,,,,,,,,,
101900,HUNTINGDON COLLEGE,MONTGOMERY,AL,Private 4 Year,512,"$2,056,986 ",,,,,,,,,,,,,,,,,
102000,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL,Public 4 Year,"3,538","$14,282,371 ",,,,,,,,,,,,,,,,,
102100,JEFFERSON DAVIS COMMUNITY COLLEGE,BREWTON,AL,Public 2 Year,818,"$2,898,556 ",,,,,,,,,,,,,,,,,
102200,JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,Public 2 Year,"3,761","$11,921,268 ",,,,,,,,,,,,,,,,,
102300,JUDSON COLLEGE,MARION,AL,Private 4 Year,157,"$642,222 ",,,,,,,,,,,,,,,,,
102400,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,Public 4 Year,"1,142","$4,750,760 ",,,,,,,,,,,,,,,,,
102600,MARION MILITARY INSTITUTE,MARION,AL,Public 2 Year,169,"$719,987 ",,,,,,,,,,,,,,,,,
102800,MILES COLLEGE,FAIRFIELD,AL,Private 4 Year,"1,642","$7,132,918 ",,,,,,,,,,,,,,,,,
102900,UNIVERSITY OF MOBILE,MOBILE,AL,Private 4 Year,729,"$2,733,469 ",,,,,,,,,,,,,,,,,
103000,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,Public 2 Year,"3,181","$11,509,828 ",,,,,,,,,,,,,,,,,
103100,NORTHEAST ALABAMA STATE CMNTY COLG,RAINSVILLE,AL,Public 2 Year,"2,119","$7,411,805 ",,,,,,,,,,,,,,,,,
569702,NORTHWEST-SHOALS C.C.-PHIL CAMPBELL,PHIL CAMPBELL,AL,Public 2 Year,2,"$6,819 ",,,,,,,,,,,,,,,,,
103300,OAKWOOD COLLEGE,HUNTSVILLE,AL,Private 4 Year,"1,010","$4,380,930 ",,,,,,,,,,,,,,,,,
103400,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,Public 2 Year,958,"$3,503,622 ",,,,,,,,,,,,,,,,,
103600,SAMFORD UNIVERSITY,BIRMINGHAM,AL,Private 4 Year,425,"$1,699,799 ",,,,,,,,,,,,,,,,,
103800,SNEAD STATE COMMUNITY COLLEGE,BOAZ,AL,Public 2 Year,"1,594","$6,053,322 ",,,,,,,,,,,,,,,,,
104000,SOUTHERN UNION STATE COMMUNITY CLG,WADLEY,AL,Public 2 Year,"2,652","$10,140,193 ",,,,,,,,,,,,,,,,,
104100,SPRING HILL COLLEGE,MOBILE,AL,Private 4 Year,436,"$1,865,642 ",,,,,,,,,,,,,,,,,
104400,STILLMAN COLLEGE,TUSCALOOSA,AL,Private 4 Year,708,"$3,066,366 ",,,,,,,,,,,,,,,,,
104600,TALLADEGA COLLEGE,TALLADEGA,AL,Private 4 Year,664,"$3,145,405 ",,,,,,,,,,,,,,,,,
104700,TROY UNIVERSITY,TROY,AL,Public 4 Year,"8,248","$29,701,142 ",,,,,,,,,,,,,,,,,
105000,TUSKEGEE UNIVERSITY,TUSKEGEE,AL,Private 4 Year,"1,632","$7,550,673 ",,,,,,,,,,,,,,,,,
105100,UNIVERSITY OF ALABAMA (THE),TUSCALOOSA,AL,Public 4 Year,"6,356","$25,637,953 ",,,,,,,,,,,,,,,,,
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Public 4 Year,"4,282","$17,208,050 ",,,,,,,,,,,,,,,,,
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,Public 4 Year,"1,866","$7,376,968 ",,,,,,,,,,,,,,,,,
