Name,Year,AverageDebt
Alabama - Total,2004,18414
Alaska - Total,2004,19215
Arizona - Total,2004,18191
Arkansas - Total,2004,17447
California - Total,2004,15303
Colorado - Total,2004,16599
Connecticut - Total,2004,20248
Delaware - Total,2004,15200
District of Columbia - Total,2004,18330
Florida - Total,2004,19140
Georgia - Total,2004,16425
Hawaii - Total,2004,14296
Idaho - Total,2004,20501
Illinois - Total,2004,16977
Indiana - Total,2004,19342
Iowa - Total,2004,21624
Kansas - Total,2004,17216
Kentucky - Total,2004,15939
Louisiana - Total,2004,18618
Maine - Total,2004,20771
Maryland - Total,2004,15762
Massachusetts - Total,2004,18539
Michigan - Total,2004,19133
Minnesota - Total,2004,20754
Mississippi - Total,2004,17074
Missouri - Total,2004,17504
Montana - Total,2004,18983
Nebraska - Total,2004,18353
Nevada - Total,2004,16748
New Hampshire - Total,2004,22564
New Jersey - Total,2004,15930
New Mexico - Total,2004,18330
New York - Total,2004,19016
North Carolina - Total,2004,16388
North Dakota - Total,2004,24314
Ohio - Total,2004,19528
Oklahoma - Total,2004,17658
Oregon - Total,2004,19597
Pennsylvania - Total,2004,21340
Rhode Island - Total,2004,21608
South Carolina - Total,2004,17672
South Dakota - Total,2004,19939
Tennessee - Total,2004,19448
Texas - Total,2004,17034
Utah - Total,2004,13113
Vermont - Total,2004,20197
Virginia - Total,2004,16551
Washington - Total,2004,20845
West Virginia - Total,2004,16267
Wisconsin - Total,2004,18115
Wyoming - Total,2004,16741
