Date,Year,Percentage
1-Jan,1992,3.5
1-Feb,1992,3.5
1-Mar,1992,3.2
1-Apr,1992,3.1
1-May,1992,3.2
1-Jun,1992,3.4
1-Jul,1992,3.3
1-Aug,1992,3.4
1-Sep,1992,3.2
1-Oct,1992,3.2
1-Nov,1992,3.3
1-Dec,1992,2.9
1-Jan,1993,3.3
1-Feb,1993,3.3
1-Mar,1993,3.4
1-Apr,1993,3.1
1-May,1993,2.7
1-Jun,1993,2.9
1-Jul,1993,2.9
1-Aug,1993,2.8
1-Sep,1993,2.8
1-Oct,1993,2.7
1-Nov,1993,2.6
1-Dec,1993,2.6
1-Jan,1994,2.8
1-Feb,1994,2.8
1-Mar,1994,2.7
1-Apr,1994,2.3
1-May,1994,2.2
1-Jun,1994,2.6
1-Jul,1994,2.7
1-Aug,1994,2.6
1-Sep,1994,2.4
1-Oct,1994,2.3
1-Nov,1994,2.1
1-Dec,1994,1.9
1-Jan,1995,2.4
1-Feb,1995,2.2
1-Mar,1995,2.5
1-Apr,1995,2.3
1-May,1995,2.4
1-Jun,1995,2.6
1-Jul,1995,2.4
1-Aug,1995,2.6
1-Sep,1995,2.1
1-Oct,1995,1.9
1-Nov,1995,2
1-Dec,1995,2
1-Jan,1996,2.3
1-Feb,1996,2.2
1-Mar,1996,2.2
1-Apr,1996,2
1-May,1996,2.2
1-Jun,1996,2.2
1-Jul,1996,2
1-Aug,1996,2.2
1-Sep,1996,2
1-Oct,1996,2
1-Nov,1996,1.9
1-Dec,1996,2
1-Jan,1997,2.1
1-Feb,1997,2.1
1-Mar,1997,2
1-Apr,1997,1.8
1-May,1997,2
1-Jun,1997,2
1-Jul,1997,1.9
1-Aug,1997,2.1
1-Sep,1997,1.9
1-Oct,1997,1.8
1-Nov,1997,1.5
1-Dec,1997,1.7
1-Jan,1998,2.1
1-Feb,1998,1.8
1-Mar,1998,1.8
1-Apr,1998,1.3
1-May,1998,1.4
1-Jun,1998,1.6
1-Jul,1998,1.7
1-Aug,1998,1.6
1-Sep,1998,1.4
1-Oct,1998,1.6
1-Nov,1998,1.6
1-Dec,1998,1.6
1-Jan,1999,1.8
1-Feb,1999,2
1-Mar,1999,1.8
1-Apr,1999,1.8
1-May,1999,1.8
1-Jun,1999,1.9
1-Jul,1999,1.9
1-Aug,1999,1.7
1-Sep,1999,1.8
1-Oct,1999,1.6
1-Nov,1999,1.6
1-Dec,1999,1.8
1-Jan,2000,1.8
1-Feb,2000,1.7
1-Mar,2000,1.7
1-Apr,2000,1.4
1-May,2000,1.4
1-Jun,2000,1.5
1-Jul,2000,1.6
1-Aug,2000,1.7
1-Sep,2000,1.7
1-Oct,2000,1.5
1-Nov,2000,1.2
1-Dec,2000,1.3
1-Jan,2001,1.6
1-Feb,2001,1.4
1-Mar,2001,1.9
1-Apr,2001,2
1-May,2001,1.9
1-Jun,2001,2.2
1-Jul,2001,2.2
1-Aug,2001,2.3
1-Sep,2001,2.3
1-Oct,2001,2.8
1-Nov,2001,2.7
1-Dec,2001,2.9
1-Jan,2002,3.3
1-Feb,2002,3.1
1-Mar,2002,2.8
1-Apr,2002,3
1-May,2002,3.2
1-Jun,2002,3.2
1-Jul,2002,3
1-Aug,2002,2.9
1-Sep,2002,2.8
1-Oct,2002,3
1-Nov,2002,3
1-Dec,2002,3
1-Jan,2003,3.4
1-Feb,2003,3.2
1-Mar,2003,3.2
1-Apr,2003,3.2
1-May,2003,3
1-Jun,2003,3.4
1-Jul,2003,3.2
1-Aug,2003,3.6
1-Sep,2003,3.3
1-Oct,2003,3
1-Nov,2003,3.3
1-Dec,2003,3.2
1-Jan,2004,3.2
1-Feb,2004,3
